time,open,high,low,close,EMA 7,RSI
2025-12-31T14:27:00+05:30,85330.28,85367.73,85314.12,85328.22,85328.88420152634,50.633348806888996
2025-12-31T14:30:00+05:30,85327.66,85366.28,85327.05,85335.14,85330.44815114475,52.99957422467812
2025-12-31T14:33:00+05:30,85334.79,85374.56,85318.29,85368.55,85339.97361335857,62.99135329783511
2025-12-31T14:36:00+05:30,85368.06,85386.34,85331.49,85386.34,85351.56521001892,67.30872246206852
2025-12-31T14:39:00+05:30,85386.88,85408.05,85365.34,85401.91,85364.15140751419,70.7883411528211
2025-12-31T14:42:00+05:30,85402,85432.83,85393.52,85417.3,85377.43855563564,73.98188175668454
2025-12-31T14:45:00+05:30,85417.94,85437.17,85410.33,85429.51,85390.45641672672,76.37273794711281
2025-12-31T14:48:00+05:30,85428.99,85431.28,85405.61,85405.61,85394.24481254505,63.125850654915176
2025-12-31T14:51:00+05:30,85405.97,85411.67,85365.55,85368.85,85387.89610940879,48.14198512872455
2025-12-31T14:54:00+05:30,85366.36,85418.72,85366.36,85412.48,85394.04208205659,60.970271657702185
2025-12-31T14:57:00+05:30,85410.9,85413.51,85368.1,85385.09,85391.80406154244,51.6181744258107
2025-12-31T15:00:00+05:30,85379.49,85379.95,85250.31,85256,85357.85304615683,28.001476532743055
2025-12-31T15:03:00+05:30,85253.4,85256.85,85209.52,85220.32,85323.46978461763,24.4014102679658
2025-12-31T15:06:00+05:30,85221.47,85243.38,85215.15,85225.3,85298.92733846323,25.95164080832096
2025-12-31T15:09:00+05:30,85239.83,85253.14,85183.58,85183.58,85270.09050384742,21.618773471916597
2025-12-31T15:12:00+05:30,85176.72,85193.11,85154.17,85193.11,85250.84537788556,24.95773853121537
2025-12-31T15:15:00+05:30,85196.86,85237.04,85193.02,85212.86,85241.34903341417,31.965071302204976
2025-12-31T15:18:00+05:30,85207.23,85244.04,85176.49,85177.43,85225.36927506063,26.739327127062893
2025-12-31T15:21:00+05:30,85178.25,85223.31,85178.25,85211.2,85221.82695629547,38.008923101579214
2025-12-31T15:24:00+05:30,85210.88,85226.64,85200.92,85221.29,85221.6927172216,41.16384506466037
2025-12-31T15:27:00+05:30,85225.35,85256.38,85200.2,85208.64,85218.42953791619,38.311911464595426
2026-01-01T09:15:00+05:30,85253.06,85444.14,85253.06,85431.68,85271.74215343714,74.56325241435282
2026-01-01T09:18:00+05:30,85433.19,85438.12,85315.43,85358.92,85293.53661507786,60.93484272423422
2026-01-01T09:21:00+05:30,85357.89,85382.81,85303.28,85303.28,85295.9724613084,52.39159198314221
2026-01-01T09:24:00+05:30,85308.67,85369.38,85289.27,85289.61,85294.38184598129,50.36747405001329
2026-01-01T09:27:00+05:30,85302.02,85424.12,85302.02,85422.72,85326.46638448598,65.5065607169942
2026-01-01T09:30:00+05:30,85424.53,85424.53,85356.29,85363.53,85335.73228836448,56.55695749533674
2026-01-01T09:33:00+05:30,85364.4,85408.92,85349.14,85384.63,85347.95671627336,58.89266883798514
2026-01-01T09:36:00+05:30,85389.5,85402.22,85339.52,85343.42,85346.82253720502,52.46523640975288
2026-01-01T09:39:00+05:30,85343.98,85409.74,85332.47,85397.3,85359.44190290377,59.249209061956314
2026-01-01T09:42:00+05:30,85400.72,85417.58,85346.75,85410.48,85372.20142717782,60.84400678735412
2026-01-01T09:45:00+05:30,85415.11,85416.7,85337.89,85367.41,85371.00357038336,52.94455237487521
2026-01-01T09:48:00+05:30,85367.16,85438.52,85363.6,85438.52,85387.88267778752,62.35810173410235
2026-01-01T09:51:00+05:30,85436.46,85451.7,85408.65,85435.05,85399.67450834064,61.6558970827537
2026-01-01T09:54:00+05:30,85432.14,85440.81,85390.25,85407.59,85401.65338125548,55.84948522326067
2026-01-01T09:57:00+05:30,85407.18,85412.83,85293.2,85318.04,85380.75003594162,41.11723801618317
2026-01-01T10:00:00+05:30,85317.4,85352,85298.19,85352,85373.56252695622,47.27109573414641
2026-01-01T10:03:00+05:30,85350.17,85393.42,85348.5,85360.15,85370.20939521716,48.770155782272894
2026-01-01T10:06:00+05:30,85361.31,85402.96,85350.11,85363.09,85368.42954641287,49.375865313319345
2026-01-01T10:09:00+05:30,85359.91,85374.12,85295.99,85296.9,85350.54715980965,37.675647690643004
2026-01-01T10:12:00+05:30,85298.42,85305.27,85276.76,85301.35,85338.24786985724,38.81289147019768
2026-01-01T10:15:00+05:30,85302.63,85302.7,85244.97,85274.17,85322.22840239292,34.346884679374014
2026-01-01T10:18:00+05:30,85275.16,85279.19,85211.39,85248.84,85303.8813017947,30.52770520609971
2026-01-01T10:21:00+05:30,85248.55,85249.03,85171.01,85202.46,85278.52597634602,24.66818281686838
2026-01-01T10:24:00+05:30,85205.39,85306.92,85203.52,85296.33,85282.97698225951,48.16220750866636
2026-01-01T10:27:00+05:30,85297.44,85340.33,85295.66,85339.45,85297.09523669463,55.58558648662417
2026-01-01T10:30:00+05:30,85339.65,85355.22,85268.69,85355.22,85311.62642752097,58.143122132907585
2026-01-01T10:33:00+05:30,85354.14,85371.81,85317.23,85371.81,85326.67232064073,60.90604555887569
2026-01-01T10:36:00+05:30,85373.98,85380.62,85309.36,85313.08,85323.27424048055,47.85867273462154
2026-01-01T10:39:00+05:30,85313.13,85351.91,85285.59,85304.07,85318.47318036041,46.091436949565654
2026-01-01T10:42:00+05:30,85301.9,85340.27,85297.33,85321.82,85319.30988527031,50.30873464753351
2026-01-01T10:45:00+05:30,85320.63,85378.41,85319.84,85378.41,85334.08491395274,61.508910336998625
2026-01-01T10:48:00+05:30,85379.12,85405.84,85375.8,85402.9,85351.28868546456,65.44163748507776
2026-01-01T10:51:00+05:30,85405.13,85410.08,85385.68,85403.25,85364.27901409843,65.50040990787195
2026-01-01T10:54:00+05:30,85408.94,85412.65,85369.02,85375.45,85367.07176057382,56.58315575851469
2026-01-01T10:57:00+05:30,85373.82,85376.3,85326.96,85360.82,85365.50882043036,52.218427262612316
2026-01-01T11:00:00+05:30,85360.77,85401.34,85344.48,85377.14,85368.41661532277,56.57762217927778
2026-01-01T11:03:00+05:30,85385.71,85387.92,85311.29,85373.09,85369.58496149207,55.12166097777901
2026-01-01T11:06:00+05:30,85376.07,85376.07,85322.95,85324.15,85358.22622111905,40.44751867074503
2026-01-01T11:09:00+05:30,85323.99,85354.01,85301.59,85336.07,85352.68716583929,44.635644842267844
2026-01-01T11:12:00+05:30,85336.09,85368.86,85307.63,85365.08,85355.78537437947,53.85079439557606
2026-01-01T11:15:00+05:30,85362.98,85364.06,85295.94,85334.87,85350.5565307846,44.79283311166629
2026-01-01T11:18:00+05:30,85333.26,85347.12,85323.82,85342.36,85348.50739808845,47.35424592951492
2026-01-01T11:21:00+05:30,85335.05,85355.72,85322.64,85326.27,85342.94804856634,42.42147550030153
2026-01-01T11:24:00+05:30,85330.06,85359.23,85294.02,85359.23,85347.01853642476,53.89840847965804
2026-01-01T11:27:00+05:30,85356.95,85364.68,85309.11,85343.2,85346.06390231856,48.42193982047652
2026-01-01T11:30:00+05:30,85340.1,85344.07,85295.07,85295.07,85333.31542673893,35.71147177308302
2026-01-01T11:33:00+05:30,85293.53,85316.17,85274.19,85282.35,85320.5740700542,33.03756973830397
2026-01-01T11:36:00+05:30,85280.3,85317.79,85270.35,85309.5,85317.80555254064,43.56078020342306
